count,freqArtist
7,Dusky
5,Grum
4,Linkin Park
4,Spor
3,Arty
3,Eric Prydz
3,Flux Pavilion
3,Morgan Page
3,Odesza
3,Pendulum
3,Ramin Djawadi
3,SOHN
3,Skream
3,Tame Impala
2,Bag Raiders
2,Baths
2,Bonobo
2,Everything Everything
2,Jon Hopkins
2,Kaytranada
2,Madeaux
2,RL Grime
2,Skrillex
2,Sub Focus
2,The Presets
2,Zedd
2,alt-J
1,16 Bit Lolitas
1,ASTR
1,Alex H
1,Alvin Risk
1,Ambassadeurs
1,Amtrac
1,Andrew Bayer
1,Attlas
1,Bassnectar
1,Bearson
1,Beastie Boys
1,Blackmill
1,Boards of Canada
1,Bon Iver
1,Brookes Brothers
1,Camo & Krooked
1,Chase & Status
1,Croquet Club
1,Digitalism
1,Electric Guest
1,Empire of the Sun
1,Empress Of
1,Essay
1,Feed Me
1,Flume
1,Gesaffelstein
1,Grimes
1,Hot Chip
1,Howard Shore
1,Koa'uka
1,MSTRKRFT
1,Mat Zo
1,Maya Jane Coles
1,Metrik
1,Mew
1,Michael Mayer
1,Minnesota
1,Mystery Jets
1,Nero
1,Netsky
1,OPIUO
1,Octave Minds
1,Pink Floyd
1,Pryda
1,Purity Ring
1,Rezz
1,RÜFÜS
1,SBTRKT
1,Slow Magic
1,St. Lucia
1,Stanton Warriors
1,Super8 & Tab
1,Tantrum Desire
1,Taso
1,The Beatles
1,The Bloody Beetroots
1,The M Machine
1,The Thrillseekers
1,The xx
1,Totally Enormous Extinct Dinosaurs
1,Wes Smith
1,West Klintwood
1,Whethan
1,Yppah
1,deadmau5
